Sentence,Emotion
hàng nhà tao cắt tóc xong thì tao cười như con điên từ sáng đến tối =)))),Enjoyment
"chúng mày nhìn , tao nuốt cũng không xuống nổi , ông địa",Fear
hoan hô anh 😂😄,Enjoyment
lấy ghế ra ngồi thật tuyệt,Enjoyment
per phim nào cũ thì người cũng hay hêt ́ tao anh ơi,Enjoyment
dù 22 tuổi nhưng bố giàu là được,Other
"ước gì mày được quay về tuổi thơ , trước mày cũng có 1 b trai như vậy đó",Sadness
làm kiểu không cần bẻ phê hơn =))),Enjoyment
khó tính chảnh chó như mèo 🙄,Disgust
chủ tịch giả vờ nấu kiểu này và cái kết cháy trụi làng,Surprise
per nhớ thật sự,Other
"đấy , nó đấy . con tim tao đau quá .",Sadness
ngày xưa hồi còn học mẫu giáo mỗi lần đi qua là nó rượt tao chạy té khói dume còn thiếu nước chạy lại quỳ xuống van xin nó nữa thôi . đến giờ nó vẫn là nỗi ám ảnh với tao :)),Fear
chính xác là con gái xinh auto đáng yêu =)))),Enjoyment
vớ vẩn thặc ! marketing cũng có dăm bảy loại và tùy lĩnh vực . dăm ba cái này đăng mà không đọc à,Disgust
"kết nhất cái điệu "" xời quá là điều bình thường luôn """,Enjoyment
chàng trai mạnh mẽ !,Enjoyment
thấy hơi sợ sợ rồi đấy :(,Fear
như con đười ươi :)))))),Enjoyment
per thần thái còn phải thua haha,Enjoyment
chuẩn bị cho chim ăn cức,Other
"có chỗ tự đào thải nhưng có chỗ có đào cũng không thải , vì "" cơ chế "" đồng tiền có lỗ xỏ . khó nói lắm",Disgust
đang thất tình mà dume cứ bắt đi bán xoài @@,Sadness
đm y chang mẹ tao chửi tao luôn :),Surprise
trông ô uế vãi,Disgust
đúng rất nguy hiểm ! đằng sau 1 thằng đàn ông đôi khi là cả một tủ váy,Disgust
dm đang yên đang lành tự dưng bị nhét cẩu lương 😡😡,Anger
phản cảm,Disgust
"ba mẹ mình nhớ tất cả ngày tháng năm sinh âm lịch , giờ sinh , tên tuổi ...... của 4 chị em .....",Enjoyment
bị tát lần đầu có thể sẽ hơi sốc một chút nhưng bị nhiều lần rồi sẽ quen ngay ấy mà 😂,Enjoyment
ghê thật,Disgust
không biết đến 2021 tao có lấy được chồng không nữa :((,Sadness
"kỳ nghỉ hè muộn của anh mà , xõa hết đi anh .",Enjoyment
nhỏ không học lớn lên làm nhà báo,Other
2 - 3 tuần gì đấy . sao thế,Other
per đu ̣ me ̣ như 1 tro ̀ đu ̀ anh =))))) đi gia ̉ mày tô ́ c co ̀ n nhiê ̀ u hơn khu nha ̀ ông,Anger
dở hơi,Disgust
cũng chỉ là ít protein dạng sợi thôi béo tốt gì mà gìn giữ 66 năm 😑 xã hội giờ là vậy . khi bạn không có tài năng nhưng bạn muốn tạo sự quan tâm của xã hội thì phải ..... 🙃🙃🙃,Disgust
"đó là những cô gái cần được bảo tồn , vì biết lo nghĩ đến thứ anh ta đang nghĩ",Other
đó là mày chưa nhận ra việc mày yêu tiền như thế nào và muốn kiếm tiền nhiều bao nhiêu ?,Other
tại thợ hàn bất cẩn chăng ...,Other
đúng là không có nhân tính,Disgust
"học xong cấp 3 , ngoài mừng vì được thoát khỏi đó thì không hề có lưu luyến 1 chút nào :))))))",Enjoyment
hoá ra chúng ta không biết nhiều về tình yêu như ta vẫn nghĩ 😢,Sadness
lòng đường không phải nhà cụ nên cụ sai nhé . vỉa hè to vậy rồi cụ còn muốn như thế nào,Anger
thiệt hả cái ???,Surprise
per mi phải học con nay bán hàng lai chim mới chạy hàng này,Enjoyment
"ước mơ của tao , thích vẽ lắm luôn , nhưng mỗi tội vẽ xong cho lên màu thì lại tệ 🙄",Sadness
dăm ba cái trò nấu cơm này sao làm khó tao .,Enjoyment
em chân thành nên em tổn thương,Sadness
bộ phim này hay từng đoạt giải oscar có lẽ là bộ hay nhất của ấn độ,Enjoyment
ủa ? chọn người nào cũng như nhau thôi . vì cả 2 người chắc đéo gì đã thích bạn đâu ? :)),Other
đcm . mấy hôm này đi đâu cungz thấy chủ tịch . đéo ngán à ?,Anger
hồi đó cấp 2 mà bán đồ lời mấy chục là mừng quýnh lên rồi =))),Enjoyment
và sau đó mẹ mày đánh thức mày dậy 😌,Other
per đưa anh nè không cần năn nỉ . chỉ cần em cởi hết đồ ra thôi . đúng không,Enjoyment
bà này hên vãi . bữa bên gò vấp cũng v . nhỏ kia nói chuyện rất đàng hoàng bà này thấy v làm tới mà lỗi sai rành rành . xui đâu có vài bà đi đường nghe không lọt tai hay sao vả cho mấy phát . hả dạ !,Disgust
dm gớm chó thiệt chứ,Disgust
nhớ lại thời đi học xa nhà . bếp dầu ... :(,Sadness
trời ơi . giết hết lũ xúc sinh liên quan đi . lũ giết người hàng loạt . yêu cầu thủ tướng đứng ra chỉ đạo vụ việc này cho dân . diệt tận gốc nhổ tận rể lũ súc vật này .😡😡😡😡,Anger
sẽ gây sự chú ý . cố tình xuất hiện trước mặt nhưng giả vờ như không quan tâm 😚,Other
nản kèo vãi,Sadness
"vẫn là thụ động , làm sao phải chặn đứng hiện tượng rải đinh .",Other
"per xuống cấp những vật liệu dễ bị cháy , chắc có thể do chập điện hoặc nguyên nhân gì đó khiến ngọn lửa bắt lên nhanh cộng với gió lớn .",Other
để được maiz ngắm nhìn nụ cười đó nên quyết định chỉ crush mà thôi :3,Enjoyment
thế là .... nổi tiếng sao ?,Surprise
hình phạt đó quá nhẹ không có sức dặn đe kẻ khác,Anger
dume nghe kể mà đau cổ họng vãi :),Fear
khiếp ăn tạp chẳng chết,Fear
một cái tết nhiều tiền,Enjoyment
phim này thật ra hay nhưng không có tính thực tế . không hay bằng truyện .,Disgust
sao tao ghét mấy cái tiếng cười của bọn khựa vãi mà video lồn nào cũng nge,Disgust
"giáo viên tiếng anh ở cấp thcs cực kì chán , phát âm sai bét , giao tiếp tiếng anh thì cứ ừ à .",Other
nó còn kể với bạn nó .. bạn nó cũng là bạn mình,Disgust
dume tao chửi cho nó sấp mặt luôn chứ còn gì nữa,Anger
cầu trời phật cho đại gia đình con sức khỏe !,Enjoyment
do chính sách quản lý yếu kém mới ra vậy đó,Disgust
con đáng yêu quá,Enjoyment
hồi xưa còn bị vén tà áo dài nằm lên bàn rồi đánh . chứ quỳ thế này có là gì đâu . giờ mới thấy cảm ơn thầy cô vì hồi đó đã như vậy .,Enjoyment
phim nay và phim triệu phú ổ chuột là 2 phim của ấn mà mình thích nhất,Enjoyment
:))) bố mày nghi nghi rồi . tắt loa auto sáng suốt :))),Other
trời . cưng chết được,Enjoyment
dù chỉ là 1 cây bông nhưng nó là tất cả tình yêu của ông dành cho bà ❤❤❤,Enjoyment
thằng nào phán sai bỏ tiền túi ra mà đền cho người bị oan sai đừng lấy tiền của nhà nước,Disgust
chỉ để nhìn cái thôi :)),Enjoyment
"thôi , không tranh luận với các ông . thế đi đường gặp thằng nào đỗ thế này cả nửa ngày , mà tắc đường và gọi nó không được , các ông đừng há mồm ra dume nó nhé . vì nó đúng mà",Anger
2 thằng chúng mày lại không làm gì được ư ?,Surprise
chai này mới ghi được nhìu chữ kkk,Enjoyment
không biết mình có được may mắn như cụ bà này không,Other
mũ sơ sài mà hiệu quả vãi,Surprise
"per nghe đồn mày yêu mèo , mà sao mày không đáng yêu :))",Disgust
đcm ác mộng,Fear
per gặp tao chắc tao đái trong vần 😅😅,Fear
mấy thằng súc vật 😡,Disgust
cáu vãi :))),Anger
per bảo sao tao cứ muốn nghỉ việc . lm với cái tao sờ choét lắm,Other
""" vậy là đủ tuổi ngồi tù rồi nhỉ ?"" , mặt anh rất tỉnh và đẹp zai =))",Enjoyment
giống chó này tên là gì vậy các bác 🙄,Other
làm bộ mặt ngầu cho thằng thỏ để ý mà thằng này láo ăn thiệt đéo cho mình ăn ké quê thiệt là quê luôn,Sadness
tao thấy dễ thương màaaa,Enjoyment
cách người ta phản ứng cũng văn minh ghê ❤️,Enjoyment
"per 😥 cảm thấy tội lỗi quá , từ nay không chụp nữa thiệt luôn",Sadness
em mà biết nó vô văn hóa thế thì em cũng làm cách này luôn cho nó nhanh ah :-),Disgust
per hồi lớp 1 tao quên nhãn vở mỹ thuật sợ đánh quá ngồi khóc tè le,Other
cảm ơn các anh tình nguyện viên .,Enjoyment
thật tuyệt vời !,Enjoyment
3 thằng ngốc . xem ý nghĩa lắm,Enjoyment
dễ thương quá !!!,Enjoyment
"thì đi ra chỗ khác viết , đụ mẹ coi mà tao tức á .",Anger
bà ngoại của em đáng yêu hơn thế này nhiều,Enjoyment
đem hủy mẹ đi . đấu giá cái quần què gì xong thằng mua lại nó hứng nó cho cả thế giới dính vr cmnl .,Anger
đã sợ rồi .. cố gắng hí mắt để xa ra để coi như thế nào .. khúc cuối hết hồn dục luôn cái điện thoại :))),Fear
tao thấy cảm động vãi .,Enjoyment
cũng sợ mấy con ngoe nguẩy như giòi 😰,Fear
đáng lẽ bệnh của tao đã không nặng đến thế,Sadness
đẹp khó tin quá,Surprise
xấu mà đáng yêuc quá,Enjoyment
"t xem cái này từ lâu lâu lâu rồi cơ , đéo bất ngờ gì cạ 😕",Other
duới miền tây là kiến vàng sao ngoài ấy lại dùng kiến đen nhỉ ?,Surprise
xưa dữ luôn,Surprise
"con cái có hư hỏng thì cha mẹ phải dạy dỗ , chứ cái loại thờ ơ khi con mình hư hỏng thế này thì đúng là dột từ nóc rồi .",Disgust
mê trai hơn bạn có thật :(,Enjoyment
má toàn truyện trong mơ không hà mắc cười quá 😂,Enjoyment
per khóc quá trời rủ họp lớp đéo thấy đâu,Disgust
phim ấn thì của lão amir khan là hay vol,Enjoyment
"cha quay phim cũng không phải dạng vừa , mẹ diễn viên thần thái vãi",Enjoyment
ơ thế hoá ra tao không bị ngu một mình ?,Sadness
"động lực là lo được cho gdinh , tự chủ bản thân",Enjoyment
nhìn nữa sao . hỏng yêu đi . cho doi . vui vẻ,Enjoyment
trời đất . 580k không tiếc thì tiếc gì trời . người ta làm ăn đàng hoàng . hứa hươu hứa vượn . là người lớn mà làm trò mất nết vậy trời @@,Disgust
cảm ơn bạn vì đã chia sẻ cũng như đã luôn sáng suốt để không làm gì sai,Enjoyment
"rất dũng cảm , đáng yêu quá",Enjoyment
nhà tao còn nè,Enjoyment
dễ thương quá hà,Enjoyment
"như mọi năm thôi mưa gió rét mướt , bây giờ mót ỉa là chỉ có thánh mới giúp được",Disgust
đọan con chó tao cười đau bụng,Enjoyment
đó cũng là giải pháp hay để lừa một thèn ngu :))),Enjoyment
tao lại sợ ngôn tình quá cơ 😒,Fear
per ít bữa dẫn mày xem cái này,Other
lên báo sớm thôi nhỉ,Other
tỏ tình cho nó biết thôi chứ yêu đương gì tầm này :(((,Disgust
cầu mong những công ơn sinh thành luôn mạnh khỏe .,Enjoyment
cái miệng nó nhanh hơn cái não,Disgust
thành phố tao nhiều người còn dân trí thấp là sao ? bố con dở người,Disgust
per giống súp lơ của bạn mình,Other
"k có con gì ác bằng con người , các con bé như thế mà nó không tha",Fear
chi phí kiểm toán và thuê người tổ chức hòa giải chia chác thôi,Other
thêm cả trò mắt mèo khốn nạn nữa,Anger
ăn ở cái gì huhu,Sadness
nhiều lúc ngáo ngáo thoải mái đến mức người yêu cũng đéo bằng nó và đến khi nó thổ lộ tình cảm thì tao đéo tin :v,Enjoyment
vẫn bình thường chán làm khách sạn nhọc nhục hơn 👻👻 xoạc nhau nước nôi máu me be bét ra 😭 kinh chết mẹ 😶,Disgust
đúng là khốn nạn mà,Anger
ôi hạnh phúc quá 😄😄😄,Enjoyment
"per hồi học đại học , điện hỏi xin tiền bố , bố ra ngân hàng gửi tiền rồi điện em hỏi stk rồi hỏi "" tên mày là gì ??"" 😭😭",Sadness
đúng . biết là sự thật tàn nhẫn nhưng vẫn muốn biết rõ cho nhẹ lòng hơn :(,Sadness
mấy kiếp tu luyện mà có 5 triệu thôi à ?,Surprise
đau còn hơn tỏ tình bị từ chối per,Sadness
dễ thương vãi ♥♥♥,Enjoyment
bố mày đã sợ nhện rồi xem cái video này ... vãi đái :(((,Fear
bà xinh thật sự ❤️,Enjoyment
đây là hội à mày ? làm tao phải lên gg tra sao lại đông người thế :)),Surprise
lại khoe có người yêu - _ -,Other
đừng trao duyên cho tao khi chưa biết rõ tao :(,Disgust
chưa có cơ hội nói cảm ơn và xin lỗi . vì chúng ta xứng đáng được bình yên,Sadness
đáng nhẽ nên làm việc này từ sớm . chứ hàn quốc họ làm từ lâu rồi ạ,Other
"quá bản lĩnh luôn , người đáng nể , tiếc là anh ấy sắp bị tử hình rồi",Sadness
không biết mấy ba mấy mẹ chơi bửa đó có xem được bài viết này không 😂😂😂... có ai lên incon phẫn nộ thì hiểu rồi ha,Disgust
góp phần xây dựng đất nước chứ gì kkk đóng nhiếu rứa,Enjoyment
"đm hồi đó nhà có nuôi bốn con , bữa đang ngồi chơi nặn đất sét nó chạy cả lũ tới , thật sự là tao không biết con đéo nào nhma có một con trong đó kéo áo phía sau lưng tao lên rồi cả lũ cắn lưng tao dume nó thốn vãi luôn . thề !",Anger
cải ngu lắm ... chưa ai ngu như cải tao thì không yêu đi yêu đứa vừa béo vừa lắm lông,Disgust
toàn lũ đầu trâu mặt ngựa,Disgust
làm tao liên tưởng đển phượng hoàng cổ trấn :))),Enjoyment
cố gắng đi gần người ta 1 xíu . rồi lướt qua nhau như 1 cơn gió,Other
chơi vậy ai chơi,Disgust
per thì tốt nhỉ quá đỉnh luôn ... nhưng không biết được trọng dụng không nữa buồn quá,Sadness
đồ điên,Anger
tự nhiên muốn có con 😐 dume,Enjoyment
cảm động người thầy đưa học sinh đi làm hồ sơ 🙄,Enjoyment
đúng là lợi ích kinh tế lâu dài .,Other
thái bình nắng to rồi,Other
nói như việt nam . nhưng hơi láo cá chắc thầy của ônc cũng như ông,Disgust
lò xô xài bằng dầu lửa con gọi là dầu thôi,Other
đi đường buổi đêm nhìn thấy hãi vãi ??,Fear
nặng tay cho chừa cái tật hại người,Disgust
"ngàn cân treo sợi tóc nhỉ , csong mong manh quá",Sadness
ko 1 từ nào để diễn tả bộ phim này ...,Enjoyment
"nhỏ thấy qua 1 lần , nó bị cột ngay trước cửa nhà người ta ở trong hẻm , mỗi lần đi ngang qua là nó lại định lao tới cà khịa",Fear
cười ị :v,Enjoyment
bởi vì gặp nhau sai thời điểm nên tôi mất người mãi mãi ...,Sadness
gia đình thì không còn . tình yêu thì chưa có gì chắc chắn . 😏,Sadness
"chỉ cần bạn dùng tình yêu thương , sự chân thành của mình đối với nó thì không gì là không thể .",Other
disme tao chưa thấy con họa mi nào hót dở như con này luôn á .🤔🤔,Disgust
"muốn em vui vẻ đơn giản lắm , chỉ cần bao ăn bao xem phim tuần 1 lần thôi hỡi các đồng nghiệp ơiii 🤣",Enjoyment
hay ý nghĩa sâu sắc 🙂,Enjoyment
trẻ trâu quá đông và nguy hiểm,Disgust
chắc chắn là vị mặn của mồ hôi,Other
mày uống trà sữa thôi . đéo ăn gì nữa =)),Other
tất cả cùng không tính điểm . thế là xong :v,Other
nó cũng làm thế với bao người khác đấy,Other
quay vào ô mất lượt :)),Sadness
"mình đã xem rất nhiều video như này rồi , nên thấy cũng bình thường =)))",Other
"sợ nhất mấy đứa ảo tưởng sức mạnh , nhắn tin nhiều chút là auto mình thích nó",Fear
chắc từ giờ tao đéo giám ho nữa quá .,Fear
đm mưa đâu đéo thấy . nóng vãi,Disgust
per không cho anh đi tập đâu nha mất bồ như chơi,Fear
đối với thế giới này bà lão chỉ là một ai đó . nhưng đối với ông lão đó bà lão là cả thế giới 😊,Enjoyment
"per haha nhiều tiền quá mang đây tao tiêu hộ cho , đóng thuế 10 củ phí quá =))",Other
"trời đụ , tội bé",Sadness
có lưu luyến thì lưu luyến người mình thích chứ lưu luyến gì cái trường đấy 😶,Disgust
"đụ mẹ tục , cuối tuần về ra nha :))",Disgust
nốt hôm nay thui . thui không ngĩ đến và bắt đầu từ bỏ 1 thói quen,Sadness
uiii xinh gái thế ...,Enjoyment
chạy 200tr là vào biên chế ngay . thực trạng chung . cần gì có chuyên môn hay không,Disgust
vì đồng tiền mà chúng mày giết bao nhiêu gia đình . chúng mày ăn những đồng tiền đấy mà chúng mày cũng nuốt trôi được à . bọn khốn nạn,Anger
cảm ơn các anh chị báo chí phóng viên đã đưa tin . mong cơ quan chức năng hãy làm thật nghiêm . thật mạnh tay vụ này . đến khổ mấy đứa nhỏ . mưa rét thế này . càng nghĩ càng tức .,Anger
c trai như thế nào tuyệt chủng rồi :),Sadness
per ngóng cuộc đấu tranh công nghệ này . tq đồng lòng ghê nhỉ,Sadness
nước mình chả í thức gì cả xả rác bừa bãi để trôi rác đầy đường thể này thật buồn,Sadness
nhờn :))),Disgust
"năm nay mua cân na về nhà ăn dần , tối ra đường xem chúng nó dẫn vợ thằng khác đi chơi ... kaka",Enjoyment
tiền bồi thường lấy ở đâu ? cứ làm bừa làm ẩu rồi lấy tiền của dân mà đền đề nghị sửa lại nếu ai làm sai thì bỏ tiền túi ra mà đền,Disgust
điềm báo gì đây,Fear
siêu phẩm để đời .,Enjoyment
tao phải công nhận là nó giỏi vãi . từ đứa diễn đến đứa quay và edit video .. giỏi vãi 🤣,Enjoyment
per trai hay gái thì vẫn thấy tữn như thường kk,Enjoyment
động lực cho tôi tiếp tục .,Other
"thôi bảo em gái xuống ngủ với mẹ đi , còn em percó sợ ma không ? thì ngủ với anh . hehe",Enjoyment
đã nuôi thì nên chăm sóc bé cẩn thận ??,Other
quê vải mà chưa được ăn quả nào . huhu,Sadness
"mới đây thôi mà đa 3 năm rồi , những ngày chia tay buồn đó :((",Sadness
"ý thức đéo gì đâu , từ già đến trẻ luôn 😥",Disgust
"tao cũng vậy , mấy cái thiệp chúc noel thời cấp 2 trẻ trâu của lũ bạn vẫn còn nguyên xi",Other
per haha . đặt bánh thì đặt thành cặp nhé . haha .😂😂,Enjoyment
thể loại này next sớm đi em,Disgust
làm chung với con mẹ ngáo là phải chuyển đi liền :) per ngọc kiều dung,Disgust
per ta nguyện nằm im,Other
thôi nhà đang yên ổn,Other
"chưa học cách kiếm tiền đã học thói đi lừa tiền =,= thua",Disgust
t tin crush của tao không bị thịt vì tao đéo crush ai cả =)),Enjoyment
con mẹ kia có vấn đề về thần kinh :) không cần biết ai đúng ai sai nhưng đéo lịch sự thì đã đéo có tư cách nói chuyện rồi :) con bà kia xem được video chắc buồn làm,Disgust
ai chưa xem thì nên xem 1 lần đi . đảm bảo không phí 3h đồng hồ của các bạn 😃,Enjoyment
chơi cái kiểu này nè :)) per,Enjoyment
đéo mẹ . nhìn nổi da gà ..,Disgust
đó là một câu chuyện buồn,Sadness
cười trước nỗi đau của người khác,Other
có ai biết 2 người này không ạ ?,Other
per coi đoạn con chó chết cười luôn em :)),Enjoyment
chủ tịch lén lút dùng đồ của vợ làm vlog và cái kết ?,Other
chúc mừng anh 👏👏👏 chúc anh may mắn . cố lênnnnn 💪💪💪,Enjoyment
phê thật . cái tai nó đang thâm đen xì lấy ra hết lại trắng hồng luôn,Enjoyment
do cái áo . mặc giống nhau làm đíuu gì,Anger
tội còn nặng hơn cả khẩu nghiệp nữa 😌😌😌,Disgust
hồi xưa anh hay bị chửi trẻ trâu này nọ ... giờ anh là tổng giám đốc rồi 😁😎,Enjoyment
nv thu nhâ ̣ p cao thi ̀ hu ́ tao ma ́ u ngươ ̀ i dân phi ́ cao hơn hê ́ tao .,Disgust
người tài như vậy lại không được sử dụng đúng mục đích … quá buồn,Sadness
một câu chuyện cổ tích xiaolon đầy tính nhân văn !!!,Disgust
còn chả có ai nói chuyện thân thiết quan tâm đến tôi :<,Sadness
đoạn phỏng vấn + xin đi chụp hình + cạo râu lão là hay nhất theo mình =]],Enjoyment
coi thôi cũng đủ nghiện rồi 💋,Enjoyment
năm nào cũng phải ở nhà trông nhà :((,Sadness
idol có skill mới chất quá 😂 1 cú đánh mông thôi mà đối thủ bay sấp mặt luôn luôn 🤣,Enjoyment
"hy vọng cơ quan điều tra làm rõ được danh tính người phụ nữ , chỉ vì cái miệng mà làm tan nát cả 1 gia đình",Disgust
tấu hài cực mạnh,Disgust
con đĩ mất dại . trời đánh tránh bữa ăn nha con ml,Anger
cười xĩu,Enjoyment
mẹ nó chứ xem xong mình khóc hết cả nước mắt,Sadness
có tiền chưa mà đòi,Disgust
"một hình ảnh hay nhưng một loại âm thanh rất chối tai , câu đầu tiên đã chửi thể và tiếp theo cũng vậy , rất vô văn hóa .",Disgust
mình chụp mấy lần liền chả thấy bác sĩ cho mặc lớp áo gì cả 😭😭😭,Sadness
thề đi ngoài đường giờ nhiều người lớn cứ nghĩ mình mình già rồi thích đi như nào thì đi . xong quay sang chửi bọn thanh niên là đi đứng mất dạy này nọ . chán . mang tiếng người lớn mà cư xử chán đcđ .,Disgust
trường gửi điểm về và mẹ cũng điện chửi :(,Sadness
ngày nay bã đã thay cho thính :))),Other
thế sao tao hát tệ thế này,Other
còn đồng nghiệp hãm lờ thì ...,Disgust
"nếu nói chị thảo tham thì chưa thoả đáng , vì ngay cả con chị cũng được niêm yết , định giá để “ chia chác ” ý kiến cá nhân mình , chỉ chia phần của chị và phần % của những người con sẽ được nhận vào 18 tuổi",Disgust
chỉ cần 1 cây hoa . nói lên tất cả .. hi,Enjoyment
ngày xưa đi học văn và toán chắc noa dưới trung bình hết,Disgust
t lên facebook không phải để coi mấy cái thứ này 😪,Disgust
dễ thương quá à ????????,Enjoyment
làm khách đi qua lại mắc mệt lun,Sadness
trả lại tuổi thơ cho tao 😆,Other
để con mẹ mày tiếng bình thường nghe cho dễ . lại còn làm đéo đéo,Anger
chỗ tao cũng có cây tình yêu < 3,Enjoyment
ngày nào cũng bị tụi siêu thị hành không dưới 10 lần,Other
qua câu chuyện này mong mọi người đừng có cái nhìn ác cảm về các anh csgt về việc hay núp lùm bắt xe nữa mà còn nghệ thuật ăn nói kể chuyện xạolin đẳng cấp 🙂🙂🙂,Disgust
việc nhỏ như vậy mà hai con này hàng sử thiếu văn hóa quá quá,Disgust
thỉnh thoảng lại xem lại phim này quá hay và ý nghĩa,Enjoyment
"lúc đầu tưởng con ma , nó đi tẩy trang xong hiện nguyên hình đếu phải ma mà là con quỷ cái",Disgust
2 đg thẳng mãi mãi song song không bao giờ cắt nhau hix hix,Sadness
mai chơi trò hứng nước mà nóng quá chắc chơi vầy luôn,Other
per chơi với con trai riết nên giờ đéo có người yêu nổi vì tính tình không khác gì con trai,Sadness
đm chơi mất dạy vãi . tưởng khúc cuối là gì dume làm giật mình 😒😒😒,Fear
"các bạn trẻ thấy cái gì cũng có mặt : giờ trái đất có , thử thách nhặt rác có , vứt rác bừa bãi có . toàn thấy các trẻ ( trâu ) tham gia .",Disgust
chạy ngay đi 😱😱😱 sợ quá .,Fear
"😔 tao không lấy chồng nữa , ở nhà nấu cơm cho mẹ , tao sợ lắm",Fear
"bữa tao coi cái video này nhưng nó ghép nhạc bựa vãi ... mỗi lần mỗi anh té là first blood , double kill ,... các kiểu =))))",Enjoyment
chính xác ! chỉ cần đồng nghiệp tốt thì mọi ngày đi làm đều vui 😊😊😊,Enjoyment
đơn giản nha .. cơm này ngon hơn cơm điện nhiều . không tin thì cứ thử,Enjoyment
làm công thì chấp nhận . chỉ trách khách không ý tứ chứ quyền gì cấm nó đem mấy cái này vào ... có trách thì trách bản thân không có khả năng làm việc khác ngoài làm nhân viên vệ sinh,Disgust
per anh tập gym cho to để như thế nào ư : ))),Surprise
nhìn cái đống lúa phơi mưa ướt nhẹp ma ghép cười được .,Other
đã sáng suốt hơn năm ngoái nhiều . ka ka,Enjoyment
vậy nếu mình lên cơn điên và giết người khác thì nỗi đau gấp bội phải không ?,Anger
lòng đường là để giao thông chứ để nhà các bác đỗ xe à ?,Anger
mình không áo mưa rồi 😞,Sadness
giọng không nhìn màn hình tao tưởng là ông bà già nào trên 60 tuổi đang nói á .,Other
nhưng nói thì cứ bảo hay than thở 😢,Sadness
xiaolin không có gì vui . chúng ta không nên xiaolin 🙄🙄,Disgust
còn tao mỗi lần cắt tóc là y như rằng … nó tệ vãi :(,Sadness
được . đỡ tốn 5 nghìn,Enjoyment
"replay chục lần đoạn cuối , phê quá",Enjoyment
đáng yêu quá ! tình yêu ông bà thật đẹp !,Enjoyment
đứng tim luôn,Fear
vì bạn chỉ là con trai nắng hoặc em gái mưa thô :(,Sadness
đau nếu còn nghĩ về nhau thì hãy quay về bên nhau :)),Sadness
nhấp mẹ miếng da chính giữa 2 lỗ rồi lấy muỗng múc là xong,Other
tư cách của người hành nghề,Other
đéo bít sợ là gì đến lúc chết lại đổ cho tại số,Disgust
chỉ mong thương nhau đến đầu bạc răng long . vậy là đủ 👌,Enjoyment
khi gặp được người đem lại cảm giác bình yên mà từ trước đến giờ chưa từng có .,Other
"bên đó cậu sao rồi , có hay cười nữa không ?",Other
"con gái ăn nói kiểu gì vậy trời , mình rất ghét con gái nói tục chữi thề",Disgust
"suốt ngày sân si , chia bè phái bốc phốt nhau mà khi nghe chia lớp theo tn - xh lại bảo buồn",Disgust
"thú vui mới , thay vì chọc chó thì ghẹo ngỗng cho nó dí =))))",Enjoyment
có lẽ vậy là tốt nhất,Sadness
tận cùng của nỗi đau 😑😑😑,Sadness
chị dâu thì vãi rồi,Disgust
nhờ mất bạn nên mình mới biết 😂😂😂😂,Enjoyment
con quan rồi lại thành quan . chỉ dân mãi là kẻ bần hàn,Other
kinh khủng,Fear
cưng quá mà,Enjoyment
xiên chết cụ nó đi,Anger
khi nào nha anh sẽ lắp hả per,Other
cưng vãi ấy,Enjoyment
lớp chúng mình rất rất vui anh em ta chan hòa tình thân =))),Enjoyment
tinh trùng của người ngoài hành tinh thật đáng sợ 👏🏻👏🏻👏🏻,Fear
tội em vợ thế :(,Sadness
ơ hoá ra là em à :(( lâu quá không gặp,Surprise
ko nên nhé các cụ .... hãy cho họ 1 cơ hội ... hãy nhìn sự việc từ nhiều khía cạnh khác nhau,Other
bắt ve cho nó điiii . trông khổ quá,Sadness
hic . nhiều khi thấy bả ngu thiệc chứ kp đùa 😂,Disgust
rất chuẩn hãy sống làm người cơn luôn luôn co hiểu thảo với cha mẹ của mình nhé moi người ơi,Enjoyment
sao không ghé quán rồi nhờ người nhà cầm nón qua cho :))) tự làm khó mình vậy,Other
con xe thần thánh . chạy hơn 50 năm chưa nát =))),Enjoyment
có người yêu thì vẫn ăn bánh trung thu nhé . bánh trung thu là thứ tồn tại duy nhất . có em hay không không quan trọng,Other
đã từng . hix,Sadness
chắc là năm lớp 4 5 gì đó :)) tao mua bánh kẹo đem vô lớp bán lẻ lại ... mỗi lần đem bán như vậy chắc cũng kiếm được lãi 2 - 30k 😂,Enjoyment
có cái con cặc .. chúng mày chỉ diễn thôi đúng không . dume chỉ diễn thôi .. :'(,Disgust
nháy mắt cũng đáng yêu kkkk,Enjoyment
nghĩ cũng tội mà thôi cũng kệ,Other
trẻ trâu chấp nó làm gì,Disgust
bắc sơn lạng sơn đang cháy khô rồi mưa cái gì chứ 😠,Other
per chị ơi còn học được cả tiếng anh nữa luôn này :v hịn quá,Enjoyment
"cổ nhân có câu : thương cho roi , cho vọt - ghét cho ngọt cho bùi . muốn con trở thành người tốt , nhưng gv nghiêm khắc thì lại phản đối . thật không thể hiểu nổi .",Anger
biết nấu cơm bếp củi từ lớp 2_3 gì đó,Enjoyment
dạ đây là chị gái em nha không phải chồng đâu ạ người trong hình là em huhu ?,Sadness
giỏi thật chứ đùa . biểu cảm gần như 90 % chuẩn mẹ rồi . thằng quay và edit cũng ghê luôn . nhảy cũng tốt ra phét chứ -.- ác thật,Enjoyment
không cẩn thận phát là ngậm bả như chơi,Fear
có thịt bò nướng là ngon rồi bày đặt kiến đốt,Disgust
